,codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,dia_extracao,modelo,tipo_motor,equipamento,quantidade_motores,nivel_dano,categoria_aviacao,fase_operacao
0,47965,ACIDENTE,FALHA DO MOTOR EM VOO,ARIQUEMES,RO,BRASIL,SJOG,2013-05-05,11:00:00,***,SERIPA-7,,,,,0,1,,2016-07-30,F1A EAGLE,PISTÃO,ULTRALEVE,1.0,SUBSTANCIAL,EXPERIMENTAL,CIRCUITO DE TRÁFEGO
1,50313,INCIDENTE GRAVE,POUSO SEM TREM,CACOAL,RO,BRASIL,SSKW,2013-11-25,12:32:00,SIM,SERIPA-7,FINALIZADA,IG-209/CENIPA/2013,1.0,2014-04-07,0,1,,2016-07-30,EMB-810C,PISTÃO,AVIÃO,2.0,SUBSTANCIAL,TÁXI AÉREO,POUSO
2,34078,ACIDENTE,PERDA DE CONTROLE NO SOLO,CEREJEIRAS,RO,BRASIL,****,2008-08-07,15:10:00,SIM,SERIPA-7,FINALIZADA,A - 517/CENIPA/2016,1.0,2016-07-07,0,1,1.0,2016-07-30,EMB-820C NAVAJO,PISTÃO,AVIÃO,2.0,SUBSTANCIAL,TÁXI AÉREO,CORRIDA APÓS POUSO
3,44988,ACIDENTE,POUSO LONGO,AMAJARI,RR,BRASIL,****,2011-08-11,17:00:00,SIM,SERIPA-7,FINALIZADA,A-105/CENIPA/2012,1.0,2012-09-20,4,1,,2016-07-30,U206G,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,TÁXI AÉREO,CORRIDA APÓS POUSO
4,38855,ACIDENTE,PERDA DE CONTROLE EM VOO,ACEGUÁ,RS,BRASIL,****,2009-12-28,17:30:00,SIM,SERIPA-5,ATIVA,A DEFINIR,,,0,1,,2016-07-30,A188B,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,ESPECIALIZADA,DECOLAGEM
5,46633,ACIDENTE,FALHA DO MOTOR EM VOO,ABADIA DE GOIÁS,GO,BRASIL,****,2012-11-15,12:40:00,***,SERIPA-6,,,,,0,1,,2016-07-30,GV-2,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,EXPERIMENTAL,MANOBRA
6,43063,ACIDENTE,PERDA DE CONTROLE EM VOO,ALTO ALEGRE,RR,BRASIL,****,2010-09-21,17:10:00,SIM,SERIPA-7,FINALIZADA,A-044/CENIPA/2012,1.0,2012-06-04,2,1,,2016-07-30,HB-350B,TURBOEIXO,HELICÓPTERO,1.0,SUBSTANCIAL,TÁXI AÉREO,POUSO
7,45280,ACIDENTE,FALHA DO MOTOR EM VOO,ALTO ALEGRE,RR,BRASIL,****,2011-11-22,16:40:00,SIM,SERIPA-1,FINALIZADA,A-038/CENIPA/2013,1.0,2013-08-22,2,1,,2016-07-30,210L,PISTÃO,AVIÃO,1.0,DESTRUÍDA,TÁXI AÉREO,CRUZEIRO
8,34515,ACIDENTE,FALHA DO MOTOR EM VOO,ALTO ALEGRE,RR,BRASIL,****,2008-11-16,12:25:00,SIM,SERIPA-7,FINALIZADA,A-566/CENIPA/2015,1.0,2016-03-18,3,1,,2016-07-30,EMB-720D,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,TÁXI AÉREO,CRUZEIRO
9,45940,ACIDENTE,INDETERMINADA,ALTO ALEGRE,RR,BRASIL,****,2010-06-09,13:00:00,SIM,SERIPA-7,ATIVA,A DEFINIR,,,0,1,,2016-07-30,182C,PISTÃO,AVIÃO,1.0,DESTRUÍDA,PARTICULAR,INDETERMINADA
10,44316,ACIDENTE,PERDA DE CONTROLE EM VOO,ALTO ALEGRE,RR,BRASIL,****,2011-04-06,20:25:00,SIM,SERIPA-7,FINALIZADA,A-025/CENIPA/2013,1.0,2013-07-30,2,1,,2016-07-30,AS 355 F2,TURBOEIXO,HELICÓPTERO,2.0,DESTRUÍDA,TÁXI AÉREO,DESCIDA
11,46201,ACIDENTE,COM TREM DE POUSO,ALTO ALEGRE,RR,BRASIL,****,2012-08-01,16:20:00,SIM,SERIPA-7,FINALIZADA,A-130/CENIPA/2013,1.0,2014-08-15,1,1,,2016-07-30,U206F,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,TÁXI AÉREO,CORRIDA APÓS POUSO
12,46152,ACIDENTE,CFIT - COLISÃO EM VOO CONTROLADO COM O TERRENO,ANGRA DOS REIS,RJ,BRASIL,****,2012-07-12,20:15:00,SIM,SERIPA-3,ATIVA,A-521/CENIPA/2016,,,0,1,,2016-07-30,EMB-121A1,TURBOÉLICE,AVIÃO,2.0,DESTRUÍDA,TÁXI AÉREO,NAVEGAÇÃO A BAIXA ALTURA
13,37797,ACIDENTE,INCURSÃO EM PISTA,ANGRA DOS REIS,RJ,BRASIL,****,2009-06-12,14:50:00,SIM,SERIPA-3,ATIVA,A DEFINIR,,,0,1,,2016-07-30,AS 350 B2,TURBOEIXO,HELICÓPTERO,1.0,NENHUM,PARTICULAR,ESTACIONAMENTO
14,26140,ACIDENTE,PERDA DE CONTROLE EM VOO,ANGRA DOS REIS,RJ,BRASIL,****,2006-01-22,20:00:00,SIM,SERIPA-3,FINALIZADA,A-070/CENIPA/2009,1.0,2009-12-30,21,1,,2016-07-30,AS 350 B3,TURBOEIXO,HELICÓPTERO,1.0,***,TÁXI AÉREO,INDETERMINADA
15,52284,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,ANGRA DOS REIS,RJ,BRASIL,SDAG,2014-08-22,14:30:00,***,SERIPA-3,,,,,0,1,,2016-07-30,FASCINATION,PISTÃO,ULTRALEVE,1.0,LEVE,EXPERIMENTAL,POUSO
16,46841,ACIDENTE,POUSO BRUSCO,ANGRA DOS REIS,RJ,BRASIL,SDMC,2012-12-27,16:03:00,SIM,SERIPA-3,FINALIZADA,A-161/CENIPA/2013,1.0,2013-10-21,0,1,,2016-07-30,R44 II,PISTÃO,HELICÓPTERO,1.0,SUBSTANCIAL,PARTICULAR,APROXIMAÇÃO FINAL
17,53484,ACIDENTE,FALHA DO MOTOR EM VOO,ANGRA DOS REIS,RJ,BRASIL,****,2015-09-18,13:30:00,***,SERIPA-3,,,,,0,1,,2016-07-30,***,***,***,0.0,SUBSTANCIAL,EXPERIMENTAL,CRUZEIRO
18,46310,ACIDENTE,OUTROS TIPOS,ANGRA DOS REIS,RJ,BRASIL,****,2012-08-31,18:40:00,SIM,SERIPA-3,ATIVA,A DEFINIR,,,0,1,,2016-07-30,AW109SP,TURBOEIXO,HELICÓPTERO,2.0,NENHUM,TÁXI AÉREO,OPERAÇÃO DE SOLO
19,43986,INCIDENTE GRAVE,COM ROTOR,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-20,21:20:00,SIM,SERIPA-3,ATIVA,A DEFINIR,,,0,1,,2016-07-30,A109E,TURBOEIXO,HELICÓPTERO,2.0,LEVE,PARTICULAR,PAIRADO
20,38660,ACIDENTE,FALHA DE SISTEMA / COMPONENTE,ANGRA DOS REIS,RJ,BRASIL,SDAG,2009-10-12,16:10:00,SIM,SERIPA-3,FINALIZADA,A-539/CENIPA/2015,0.0,2016-07-07,3,1,1.0,2016-07-30,EMB-500,JATO,AVIÃO,2.0,SUBSTANCIAL,PARTICULAR,CORRIDA APÓS POUSO
21,31395,ACIDENTE,OUTROS TIPOS,ANGRA DOS REIS,RJ,BRASIL,****,2008-01-15,11:41:00,SIM,SERIPA-3,REABERTA,A-025/CENIPA/2010,0.0,2010-04-28,9,1,,2016-07-30,407,TURBOEIXO,HELICÓPTERO,1.0,NENHUM,PARTICULAR,POUSO
22,52982,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,BOA VISTA,RR,BRASIL,****,2015-01-29,20:30:00,SIM,SERIPA-7,FINALIZADA,A-014/CENIPA/2015,1.0,2015-05-22,0,1,,2016-07-30,182D,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA
23,42723,ACIDENTE,FALHA DO MOTOR EM VOO,BOA VISTA,RR,BRASIL,SBBV,2010-09-01,13:30:00,SIM,SERIPA-7,FINALIZADA,A-134/CENIPA/2011,1.0,2011-12-21,4,1,,2016-07-30,U206F,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,TÁXI AÉREO,SUBIDA
24,44538,ACIDENTE,COM PÁRA-BRISAS / JANELA / PORTA,BOA VISTA,RR,BRASIL,****,2011-05-23,10:50:00,SIM,SERIPA-1,FINALIZADA,A-044/CENIPA/2013,1.0,2013-08-27,3,1,,2016-07-30,208B,TURBOÉLICE,AVIÃO,1.0,DESTRUÍDA,PARTICULAR,DECOLAGEM
25,53435,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,BOA VISTA,RR,BRASIL,****,2015-08-15,14:00:00,SIM,SERIPA-7,ATIVA,A-113/CENIPA/2015,,,0,1,,2016-07-30,EMB-202,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA
26,34077,ACIDENTE,PERDA DE COMPONENTE EM VOO,BOA VISTA,RR,BRASIL,SBBV,2008-08-27,22:20:00,SIM,SERIPA-7,FINALIZADA,A-045/CENIPA/2012,1.0,2012-06-06,2,1,,2016-07-30,EMB-720D,PISTÃO,AVIÃO,1.0,LEVE,TÁXI AÉREO,POUSO
27,27709,ACIDENTE,COM TREM DE POUSO,BOA VISTA,RR,BRASIL,SBBV,2006-09-22,18:09:00,SIM,SERIPA-7,ATIVA,A DEFINIR,,,0,1,,2016-07-30,EMB-720D,PISTÃO,AVIÃO,1.0,LEVE,TÁXI AÉREO,DECOLAGEM
28,26521,ACIDENTE,INDETERMINADA,BOA VISTA,RR,BRASIL,****,2006-03-21,10:38:00,SIM,SERIPA-7,ATIVA,A-554/CENIPA/2016,,,0,1,,2016-07-30,182P,PISTÃO,AVIÃO,1.0,***,PARTICULAR,INDETERMINADA
29,53260,ACIDENTE,FALHA DO MOTOR EM VOO,AFONSO CLÁUDIO,ES,BRASIL,****,2015-05-08,11:27:00,***,SERIPA-3,,,,,0,1,,2016-07-30,RV-10,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,EXPERIMENTAL,SUBIDA
30,43458,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,ÁGUA BRANCA,AL,BRASIL,****,2010-12-11,11:00:00,SIM,SERIPA-2,ATIVA,IG-583/CENIPA/2016,,,0,1,,2016-07-30,EMB-820C NAVAJO,PISTÃO,AVIÃO,2.0,LEVE,ESPECIALIZADA,NAVEGAÇÃO A BAIXA ALTURA
31,48058,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULO NO SOLO,BRASÍLIA,DF,BRASIL,SBBR,2013-04-30,21:00:00,SIM,CENIPA,ATIVA,IG-085/CENIPA/2013,,,0,1,,2016-07-30,737-8AS,JATO,AVIÃO,2.0,LEVE,REGULAR,DECOLAGEM
32,45400,INCIDENTE GRAVE,FOGO EM VOO,BRASÍLIA,DF,BRASIL,SBBR,2012-01-21,14:50:00,SIM,CENIPA,ATIVA,IG-544/CENIPA/2015,,,0,1,,2016-07-30,F28MK0100,JATO,AVIÃO,2.0,LEVE,REGULAR,SUBIDA
33,43870,INCIDENTE GRAVE,COM TREM DE POUSO,BRASÍLIA,DF,BRASIL,SBBR,2011-02-14,14:45:00,SIM,SERIPA-6,FINALIZADA,IG-522/CENIPA/2015,1.0,2015-06-06,0,1,,2016-07-30,58,PISTÃO,AVIÃO,2.0,LEVE,TÁXI AÉREO,CORRIDA APÓS POUSO
34,36495,INCIDENTE GRAVE,OUTROS TIPOS,BRASÍLIA,DF,BRASIL,****,2008-03-14,16:14:00,SIM,CENIPA,ATIVA,A DEFINIR,,,0,1,,2016-07-30,ATR-72-212,TURBOÉLICE,AVIÃO,2.0,NENHUM,REGULAR,SUBIDA
35,53493,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,BRASÍLIA,DF,BRASIL,SBBR,2015-10-05,14:15:00,SIM,CENIPA,ATIVA,IG-133/CENIPA/2015,,,0,1,,2016-07-30,ATR-72-212A,TURBOÉLICE,AVIÃO,2.0,LEVE,REGULAR,DECOLAGEM
36,27852,ACIDENTE,COM TREM DE POUSO,BRASÍLIA,DF,BRASIL,SBBR,2006-06-16,13:17:00,SIM,CENIPA,ATIVA,A DEFINIR,,,0,1,,2016-07-30,MD-11,JATO,AVIÃO,3.0,SUBSTANCIAL,REGULAR,CORRIDA APÓS POUSO
37,38359,ACIDENTE,FALHA DO MOTOR EM VOO,BRASÍLIA,DF,BRASIL,****,2009-08-07,20:40:00,SIM,SERIPA-6,FINALIZADA,A - 564/CENIPA/2014,1.0,2016-06-16,2,1,,2016-07-30,AS 350 BA,TURBOEIXO,HELICÓPTERO,1.0,SUBSTANCIAL,ADMINISTRAÇÃO DIRETA,DECOLAGEM
38,43461,INCIDENTE GRAVE,FALHA DE SISTEMA / COMPONENTE,BRASÍLIA,DF,BRASIL,****,2010-12-08,22:00:00,SIM,CENIPA,ATIVA,A DEFINIR,,,0,1,,2016-07-30,737-36N,JATO,AVIÃO,2.0,NENHUM,REGULAR,DESCIDA
39,46026,INCIDENTE GRAVE,POUSO ANTES DA PISTA,BRASÍLIA,DF,BRASIL,SIQE,2012-06-22,12:30:00,SIM,SERIPA-6,FINALIZADA,IG-123/CENIPA/2013,1.0,2015-05-15,1,1,,2016-07-30,MU-2B-20,TURBOÉLICE,AVIÃO,2.0,SUBSTANCIAL,PARTICULAR,POUSO
40,34651,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,BRASÍLIA,DF,BRASIL,****,2008-12-05,09:55:00,SIM,SERIPA-6,FINALIZADA,IG-078/CENIPA/2011,1.0,2011-09-23,15,1,,2016-07-30,AS 350 B2,TURBOEIXO,HELICÓPTERO,1.0,LEVE,ADMINISTRAÇÃO INDIRETA,CRUZEIRO
41,50346,ACIDENTE,POUSO SEM TREM,BRASÍLIA,DF,BRASIL,SIQE,2013-12-10,12:05:00,SIM,SERIPA-6,FINALIZADA,A-217/CENIPA/2013,1.0,2014-06-16,0,1,,2016-07-30,EMB-711ST,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,POUSO
